,recipe,ingredients
36,"Maggi Chicken Flavor Bouillon, 3.5 Oz","Salt,Cornstarch,Monosodium Glutamate,Sugar,Partially Hydrogenated Palm Oil,Garlic Powder,Onion Powder,and Less than 2 of Dehydrated Chicken**,Turmeric Spices,Chicken Fat**,Disodium Inosinate,Natural Flavor. **Adds Trivial Amounts of Cholesterol."
37,"Polaner Sugar Free Orange Marmalade, 13.5 Oz","Water*,Orange Peel**,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Yellow #6*. *Not In Regular Preserves. **Adds A Trivial Amount of Sugar."
38,Simply Asiaï¿½ï¿½ Sweet & Smoky Hibachi Seasoning 3.12 Oz. Bottle,"Brown Sugar,Sea Salt,Garlic,Spices (Including Red Pepper),Sugar,Onion,Toasted Sesame Seed,Red Bell Pepper,Natural Flavor (Including Smoke),Green Onion,Silicon Dioxide And Calcium Stearate (to Make Free-Flowing),Caramel Color,And Soy Sauce (Wheat, Soybean, Salt),. Contains: Soy And Wheat."
39,Roasted Turkey Gravy,"Organic Potato Starch,Organic Corn Syrup Solids,Organic Natural Flavors (Organic Turkey and Chicken Flavors,Sea Salt,Organic Gum Arabic),Organic Rice Flour,Sea Salt,Organic Carrot,Organic Onion,Silicon Dioxide,Malt Extract,Organic Sage,Organic"
40,Nestlï¿½ï¿½ Coffee-mate Cinnamon Vanilla Creme Coffee Creamer 180-0.375 Fl. Oz. Tubs,"Water,Sugar,Coconut Oil,Sodium Caseinate (a Milk Derivative),**,Artificial and Natural Flavors,Dipotassium Phosphate,Mono- and Diglycerides,**Not a Source of Lactose."
41,Simply Organic Seasoning,"Sea Salt, Organic Garlic, Organic Onion, Organic Black Pepper, Organic Oregano, Organic Bay, Organic Turmeric.,Sea Salt,Organic Garlic,Organic Onion,Organic Black Pepper,Organic Oregano,Organic Bay,Organic Turmeric."
42,Kellogg's Frosted Confetti Cake Pop Tarts 14.1,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Corn Syrup,Sugar High Fructose Corn Syrup,Vegetable Oil (Soybean And/Or Palm Oil With Tbhq For Freshness, Partially Hydrogenated Cottonseed And/Or Soybean Oil, Hydrogenated Palm Kernel Oil),Contains Two Percent Or Less of Salt,Fructose,Wheat Starch,Rice Flour,Calcium Carbonate,Cornstarch,Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate),Soy Lecithin,Caramel Color,Dextrose,Maltodextrin,Gelatin,Sodium Stearoyl Lactylate,Mono- And Diglycerides,Color Added,Natural And Artificial Flavor (Contains Milk),Modified Food Starch,Confectioner's Glaze,Carrageenan,Cellulose Gum,Carnauba Wax,Vitamin A Palmitate,Niacinamide,Reduced Iron,Red 40,Yellow 6,Pyridoxine Hydrochloride (Vitamin B6),Yellow 5,Riboflavin (Vitamin B2),Gum Arabic,Blue 2 Lake,Thiamin Hydrochloride (Vitamin B1),Blue 1,Annatto Color,Xanthan Gum,Folic Acid,BHT (Preservative),Blue 2. Contains Wheat,Soy And Milk Ingredients."
43,Ka Me Noodle Strfry Soba-14. 2 Oz -pack of 6,"Water,Wheat Flour,Buckwheat Flour,Wheat Gluten,Salt,Lactic Acid."
44,"Spice Islands: Ground Coriander Spice, 1.7 Oz","Aromatic And Bitingly Pungent,Coriander Is An Ancient Seasoning Whose Culinary Roots Travel Deep Into Remote Times. We Grind Our Own Coriander Seed To Ensure Delightful Bouquet And Distinctive Flavor. Ground Coriander Is Traditional In South American,Indian,Mediterranean And African Cuisines,Particularly Curries,Meat,And Seafood Dishes. Add To Stews And Marinades For Authentic Mediterranean Flavor."
45,"Polaner Blackberry Seedless Sugar Free Preserves With Fiber, 13.5 Oz","Water*,Blackberries+,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Red #40 And Blue #1*. *Not In Regular Preserves. +Adds A Trivial Amount of Sugar."
46,Jelly Belly Jelly Bean,"Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following: Peach Puree Concentrate,Blueberry Puree,Strawberry Puree,Lemon Puree,Pear Juice Concentrate,Tangerine Juice Concentrate,Watermelon Juice Concentrate,Apple Juice Concentrate,Cherry Juice Concentrate,Pomegranate Juice Concentrate,Coconut,Citric Acid,Phosphoric Acid,Ascorbic Acid,Sodium Lactate,Sodium Citrate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Yellow 5 & 6,Red 40,Blue 1,Tapioca Dextrin,Beeswax,Carnauba Wax,Confectioner's Glaze,Salt,Caffeine."
47,"Manischewitz Whitefish & Pike, Reduced Sodium, In Jelled Broth","Water,Whitefish,Pike,Matzo Meal (Passover Wheat Flour and Water),Egg Whites,Onion,Salt,Carrageenan,Locust Bean Gum,Potassium Chloride,Dipotassium Phosphate,Pepper,Natural Flavorings."
48,"Mentos Chewy Mint Strawberry, 1.32 Oz","Sugar,Wheat Syrup,Strawberry Juice from Concentrate (2),Hydrogenated Coconut Oil,Citric Acid,Corn Starch,Artificial Flavor,Maltodextrin,Sucrose Fatty Acid Esters,Gellan Gum,Carnauba Wax,Sodium Carboxymethylcellulose,Gum Arabic,Color (Beetroot Red),Beeswax. Mentos Chewy Mint Strawberry.,Mentos The Chewy Mint Strawberry.,Artificially flavored.,Perfetti.,For nutritional information,write to: Nutritional Data,P.O. Box 18190,Erlanger,KY 41018.,Mentos is a registered trademark of Perfetti Van Melle Benelux B.V. www.mentos.com.,For the strawberry lover,mentos strawberry chewy candies are a perfect fit.,With a hard outer shell to keep them from melting and a creamy chewy center,mentos strawberry flavored chewy candies have no competition.,If are looking for fresh breath and a delicious fruity flavor then look no further than mentos strawberry flavored chewy mints."
49,Egg Noodles Wide,"Durum Flour (Wheat),Egg Yolks or Eggs,Niacin,Iron (Ferrous Sulfate),Thiamine Mononitrate (Vitamin B1),Riboflavin (Vitamin B2),and Folic Acid."
50,Italian Herb Seasoning,"Oregano,Marjoram,Savory,Thyme,Basil,Rosemary,Sage. Aromatic blend of basil,oregano,rosemary,thyme and other herbs,Perfect compliment to Italian dishes and tomato-based sauces"
52,"Fiordifrutta Organic Fruit Spread Strawberries & Wild Strawberries, 8.82 Oz","Strawberries*,Apple Juice*,Wild Strawberries*,Pectin. *From organic farming."
54,Preserv Sf Blckbrry -pack of 6,"Water (Ingredients Not in Regular Preserves),Blackberries (Adds a Trivial Amount of Sugar),Polydextrose (Ingredients Not in Regular Preserves),Maltodextrin (Ingredients Not in Regular Preserves),Fruit Pectin,Locust Bean Gum (Ingredients Not in Regular Preserves),Citric Acid,Natural Flavor (Ingredients Not in Regular Preserves),Potassium Sorbate (Preservative),Calcium Chloride (Ingredients Not in Regular Preserves),Sucralose (Non Nutritive Sweetener),(Ingredients Not in Regular Preserves),Red 40 (Ingredients Not in Regular Preserves),."
56,Whole Wheat Penne Rigate Pasta,"Whole Semolina From (Wheat),Niacin,Ferrous Lactate,Thiamine Mononitrate,Riboflavin,Folic Acid."
57,"Sam Mills Pasta D'oro Penne Rigate 100% Corn Pasta, 16 Oz","100% Corn Flour,Water. This Product Is Produced In A Gluten-Free Facility."
58,"Golden Mountain Seasoning Sauce, 20 Fl Oz","Soybean Sauce (Soy Bean, Corn, Wheat),Water,Sugar,Salt,Add Food Enhancer"
59,McCormick Belgian Style White Ale Seasoning (Pack of 2) 2.37 oz Bottles,"Salt,Spices (Including Coriander, Black Pepper, Paprika, And Thyme),Garlic,Sugar,Onion,Orange Peel,Citric Acid,Corn Maltodextrin,Gum Arabic,Valencia Orange Peel,Beer (Malted Barley, Corn Syrup, Hops, Yeast),And Natural Flavors."
61,"Polaner All Fruit Raspberry Fruit Spread With Fiber, 10 Oz","Juice Concentrates (Pear, Grape),Maltodextrin (Dietary Fiber),Raspberries,Fruit Pectin,Natural Flavor,Citric Acid."
62,"Spice Islands: Ground Saigon Cinnamon Spice, 1.9 Oz","Cinnamon Is One Of The Oldest And Most Flavorful Spices In The World. Spice Islands Have Traveled To Saigon To Bring You This Sweet Cinnamon Whose Red-Hot,Candy-Like Flavor Has Been Prized For Centuries. Ground Cinnamon Is The Secret Ingredient In A Wide Array Of Middle Eastern And Mediterranean Dishes,And A Favorite For Baked Goods. For A Fragrant Pilaf,Cook Rice In Cinnamon-Flavored Broth Stir In Chopped Dried Fruits And Toasted Nuts."
63,"A Taste of Thai Soup Base, Coconut Ginger","Salt,Galangal,Lemongrass,Sugar,Dextrose,Shallot,Chili,Kaffir Lime Peel,Onion,Coriander Root,Citric Acid,Hydrolyzed Soybean Protein."
64,Chilli Manï¿½ï¿½ Seasoning Mix 1.25 Oz. Pouch,"Chili Peppers,Granulated Onion,Spices,Salt,Granulated Garlic."
65,"Bonne Maman Blackberry Preserves, 13 Oz (pack of 6)","Blackberries,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin."
67,"Badia Arbol Chili Peppers, 6 Oz","Arbol Chili,Sulfites. Resealable bag,Arbol chili,sulfites"
68,Manischewitz Borscht 24oz Pack of 12,"Water,Beets,Salt,Citric Acid,Sodium Saccharin (22mg per serving),."
72,"Nature's Earthly Choice Garden Vegetable Easy Quinoa, 4.8 Oz","Quinoa,Dehydrated Vegetables (Carrot, Red And Green Bell Peppers, Tomato, Celery),Salt,Cane Sugar,Yeast Extract,Garlic Powder,Onion Powder,Potato Starch,Spices,Turmeric,And Less Than 2% Sunflower Oil And Rice Concentrate Added to Prevent Caking."
75,Ginger Ground,"Ginger Was One Of The First Oriental Spices Used In The Western World When It Was Brought From The East By The Fabled Spice Caravans. For An Asian Flair,Mix Ground Ginger With Soy Sauce,Toasted Spice Islands Sesame Seeds And Minced Garlic Drizzle Over Vegetables,Chicken Or Steak. Blend With Butter And Brown Sugar Pour Over Cooked Carrots Or Winter Squash And Broil. Use Ground Ginger To Flavor Marinades,Curries,And Baked Goods."
76,"Bonne Maman Muscat Grape Jelly, 13 Oz","Grape (Juice And Concentrated Juice),Sugar,Cane Sugar Concentrated Lemon Juice,Fruit Pectin."
77,"Tone's: Powder Mild Chili, .65 Oz","Chili Pepper and Other Spices,Salt and Garlic Powder"
78,"Chicken of The Sea Chunk White Tuna In Water To-go Cups, 2.8 Oz, 2 Count","Chunk White Tuna,Water,Vegetable Broth (Contains Soy),And Salt."
79,"Frenchs Seasoning Mix, Taco, Original","Cornstarch,Chili Pepper and Other Spices,Maltodextrin,Salt,Dehydrated Onion,Dehydrated Garlic,Paprika (as Color),Red Pepper,Disodium Inosinate,Paprika Extractives (as Color),."
80,"Alessi Spread, Roasted Garlic","Garlic,Soybean Oil,Alessi Extra Virgin Olive Oil,Alessi Sea Salt,Phosphoric Acid,Sodium Benzoate and Potassium Sorbate,as Preservatives."
82,Polaner All Fruit Apricot Spreadable Fruit 10 Oz  (pack of 12),"Juice Concentrates (Pear, Grape, Pineapple),Apricots,Citric Acid,Fruit Pectin,Natural Flavor."
83,Manischewitz B58089 Manischewitz Natural Chicken Broth-12x14 Oz,"Chicken Stock,Salt Flavorings,Chicken Fat,Yeast Extract,Sugar,Vegetable Juice Concentrate (Carrot, Celery and Onion),."
84,"Dry Onion & Garlic: Coarse Grind Blend W/parsley California Style Garlic Powder, 6 Oz","Garlic,Sunflower Oil,and Parsley."
85,Pudding European Style Rice,"Reduced Fat Milk,Sugar,Rice,Contains Less Than 2 of Eggs,Natural Flavor,Salt,Annatto Extract (Color),Ground Vanilla Beans."
86,"Badia Chamomile, .25 Oz","Chamomile. Renowned for its natural sedative properties,Little flowers are most commonly used in teas prepared for the relief of insomnia and mild digestive disorders,Infusion can also be used to soothe skin burns,Gluten free"
87,Superseedz - Gourmet Pumpkin Seeds Tomato Italiano - 5 Oz.,"Shelled Pumpkin Seeds,Crushed Tomato,Granulated Garlic,Granulated Onion,Dried Basil,Unrefined Sea Salt,Dried Parsley,Dried Oregano,Black Pepper."
89,"Go Organic Hard Candies, Organic, Apple","Organic Evaporated Cane Juice,Organic Brown Rice Syrup,Citric Acid,Natural Apple Flavor."
90,Oscar Mayer Beef Bologna Cold Cuts 12 Oz. Pack,"Beef,Water,Corn Syrup,Contains Less Than 2 of Salt,Sodium Lactate,Flavor,Dextrose,Hydrolyzed Beef Stock,Autolyzed Yeast,Sodium Phosphates,Sodium Diacetate,Sodium Ascorbate,Sodium Nitrite,Extractives of Paprika."
91,"Spice Islands: Paprika Spice, 2.1 Oz","Paprika,Less Than 2 Silicon Dioxide To Prevent Caking."
92,"Life Savers Sugar Free Wild Cherry Hard Candy, 2.75 Oz","Isomalt,Citric Acid,Natural And Artificial Flavors,Sucralose,Colors (Red 40, Blue1),."
94,Salsita Jalapeno,"Water,Green Jalapeno Pepper,Salt,Acetic Acid,Fresh Onion,Citric Acid,Xanthan Gum,Ascorbic Acid,Garlic,Sodium Benzoate,Oregano Powder,Black Pepper,Artificial Colors FD&C Blue and FD&C Yellow,Cumin."
96,"Cedar's Smooth N' Creamy Roasted Garlic Hommus, 12 Oz","Fresh Steamed Chickpeas,Sesame Tahini,Water,Sunflower Il,Olive Oil,Roasted Garlic,Citric Acid,Salt,Gum Arabic,Spices,1/10 of 1% Sodium Benzoate,Potassium Sorbate (to Preserve Freshness),."
98,Bonne Maman Plum Preserves,"Damson Plum,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin."
99,"Tone's: Powder Hot Chili, .75 Oz","Chili Pepper and Other Spices,Salt,Garlic Powder and Red Pepper"
100,"Morton Table Salt, 4 Lbs.","Salt,Calcium Silicate (An Anti-Caking Agent)"
101,"Mccormick Pure Vanilla Extract, 8 Fl Oz","Vanilla Bean Extractives In Water,Alcohol (35),and Corn Syrup. Value priced,Kosher"
102,Bouillon Chicken Reduced Sodium,"Salt,Partially Hydrogenated Cottonseed Oil,Monosodium Glutamate,Corn Starch,Chicken Fat,Hydrolyzed Corn Protein,Sugar,Dried Chicken Meat,Onion Powder,Water,Garlic Powder,Turmeric,Caramel Color,Parsley,Spices,Citric Acid,Disodium Guanylate,Disodium Inosinate."
104,"Jelly Belly Jelly Beans, Kids Mix","Sugar,Corn Syrup,Modified Food Starch,Contains 2 or Less of the Following: Peach Puree Concentrate,Raspberry Puree,Strawberry Juice Concentrate,Apple Juice Concentrate,Cherry Juice Concentrate,Watermelon Juice Concentrate,Lime Juice Concentrate,Blueberry Puree,Lemon Puree,Orange Puree,Citric Acid,Fumaric Acid,Lactic Acid,Sodium Citrate,Sodium Lactate,Ascorbic Acid,Tapioca Dextrin,Chocolate Liquor,Cocoa Butter,Soy Lecithin (an Emulsifier),Cocoa Powder,Natural and Artificial Flavors,Color Added,Red 40 Lake,Red 40,Yellow 5 6 Lake,Yellow 5 6,Blue 1 2 Lake,Blue 1,Beeswax,Carnauba Wax,Confectioner's Glaze,Salt."
106,"Smucker&#39;s: Boysenberry Sugar Free Preserves, 12.75 Oz","Water**,Boysenberries+,Polydextrose**,Maltodextrin**,Fruit Pectin,Locust Bean Gum**,Citric Acid,Natural Flavor**,Potassium Sorbate (Preservative),Sucralose (Non Nutritive Sweetener),**,Calcium Chloride**,Red 40*8,Blue 1**. **Ingredients Not In Regular Preserves. +Adds A Trivial Amount Of Sugar. <0.5G/Serving."
107,Steak and Burger Seasoning,"Sea Salt,Spices (Black Pepper, Dill Seed, Coriander, Red Pepper),And Dehydrated Garlic."
108,"Rokeach Whitefish-pike, Ready-jelled Broth","Water,Whitefish,Egg Whites,Sugar,Pike,Salt,Matzo Meal (Passover Wheat Flour and Water),Onion,Monosodium Glutamate,Xanthan Gum,Carob Seed Gum,Pepper,Natural Flavorings."
109,"Mexene Original Chile Powder Seasoning, 2 Oz","Chili Pepper,Salt,Cumin,Oregano,Garlic,Silicon Dioxide."
110,Erin Baker's Homestyle Granola,"Whole Grain Oats,Honey,Expeller Pressed Canola Oil,Chocolate Chunks (Sugar, Chocolate Liquor, Anhydrous Dextrose, Cocoa Butter, Soy Lecithin, Vanilla Extract),Oat Bran,Molasses,Ground Flax Seed,Cocoa,Vanilla Extract,Sea Salt."
111,Yum Earth - Organic Gluten Free Gummy Worms - 4 Oz.,"Organic Brown Rice Syrup,Organic Cane Sugar,Gelatin,Natural Flavors,Organic Fruit Juice (Apple and/or Pear, Black Carrot, Pomegranate),Citric Acid,Malic Acid,Ascorbic Acid,Organic Sunflower Oil,Organic Carnauba Wax."
112,"Streits Soup Base, Chicken Flavor","Potato Starch,Tapioca Dextrin,Salt,Partially Hydrogenated Cottonseed Oil,Cottonseed Oil,Spices,Turmeric,Natural and Artificial Flavor."
115,"Progresso 100% Natural Beef Flavored Broth, 32.0 Oz","Water,Beef Broth,Sea Salt,Yeast Extract,Sugar,Natural Flavor,Salt,Evaporated Cane Juice,Beef Tallow*,Spices,Onion Powder,Beef,Garlic Powder,Gelatin.*Adds a trivial amount of Fat."
116,Rosemary,"Rosemary Is An Evergreen Herb Native to The Mediterranean Region And Is A Nostalgic Herbal Symbol For Remembrace And Fidelity. Rosemary's Assertive Flavor Blends Well With Garlic to Season Lamb,Chicken And Pork. Use to Flavor Lighter Fish Dishes,Tomato Sauces And Roasted Garlic."
117,Fruit Sprd Strawberry Peach (pack of 6),"Strawberries,Sugar,Peaches,Dried Peaches (Contains Sulfur Dioxide to Promote Color Retention),Lemon Juice."
